"","Selic_Meta","Taxa_Media_Juros_Credito","Inadimplencia_PF_Total","Inadimplencia_PF_Total_modalidades","Inadimplencia_Recursos_Livres_Total","Inadimplencia_Cheque_Especial","Inadimplencia_Credito_Pessoal_Nao_Consignado","Inadimplencia_Composicao_Dividas","Inadimplencia_Consignado_Privado","Inadimplencia_Nao_Consignado_Com_Garantia","Inadimplencia_Nao_Consignado_Sem_Garantia","Serasa_Inadimplentes_milhoes","Serasa_Dividas_Negativadas_milhoes","Serasa_Dividas_Negativadas_R_bilhoes","Serasa_Dividas_Media_por_CPF","Serasa_Divida_Media_R","Serasa_Ticket_Medio_R","Serasa_Populacao_Adulta_pct","Serasa_Genero_F_milhoes","Serasa_Genero_M_milhoes","Serasa_Ate_25_milhoes","Serasa_26_40_milhoes","Serasa_41_60_milhoes","Serasa_Acima_60_milhoes","PNAD_Taxa_Desocupacao_pct","PNAD_Rendimento_Medio_R","Itau_NPL90_Total_pct","Itau_NPL90_Brasil_pct","Itau_NPL90_PF_Brasil_pct","Itau_NPL90_MPME_Brasil_pct","Itau_NPL90_Grandes_Empresas_Brasil_pct","Itau_Carteira_PF_Total_R_milhoes","Itau_Carteira_Cartao_Credito_R_milhoes","Itau_Carteira_Credito_Pessoal_R_milhoes","Itau_Carteira_Credito_Consignado_R_milhoes","Itau_Carteira_Veiculos_R_milhoes","Itau_Carteira_Credito_Imobiliario_R_milhoes","Itau_Carteira_MPME_R_milhoes","Itau_Cobertura_Estagio3_PF_Brasil_pct","Itau_Cobertura_Estagio3_PJ_Brasil_pct","Itau_Cobertura_Estagio3_Brasil_pct","Itau_Cobertura_Estagio3_America_Latina_pct","Itau_Cobertura_Estagio3_Total_pct","Itau_NPL_Creation_Total_R_milhoes","Itau_NPL_Creation_Varejo_Brasil_R_milhoes","Itau_NPL_Creation_Atacado_Brasil_R_milhoes","Itau_NPL_Creation_America_Latina_R_milhoes","PIB_Valores_Correntes_R_milhoes","GGR_Offshore_R_bilhoes","GGR_Nacional_R_bilhoes","GGR_Total_R_bilhoes"
"Selic_Meta",17,16,16,16,16,16,16,16,16,2,2,11,11,11,11,11,11,11,8,8,8,8,8,8,15,15,2,2,2,2,2,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,7,5,5,5
"Taxa_Media_Juros_Credito",16,16,16,16,16,16,16,16,16,2,2,11,11,11,11,11,11,11,8,8,8,8,8,8,15,15,2,2,2,2,2,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,6,5,5,5
"Inadimplencia_PF_Total",16,16,16,16,16,16,16,16,16,2,2,11,11,11,11,11,11,11,8,8,8,8,8,8,15,15,2,2,2,2,2,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,6,5,5,5
"Inadimplencia_PF_Total_modalidades",16,16,16,16,16,16,16,16,16,2,2,11,11,11,11,11,11,11,8,8,8,8,8,8,15,15,2,2,2,2,2,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,6,5,5,5
"Inadimplencia_Recursos_Livres_Total",16,16,16,16,16,16,16,16,16,2,2,11,11,11,11,11,11,11,8,8,8,8,8,8,15,15,2,2,2,2,2,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,6,5,5,5
"Inadimplencia_Cheque_Especial",16,16,16,16,16,16,16,16,16,2,2,11,11,11,11,11,11,11,8,8,8,8,8,8,15,15,2,2,2,2,2,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,6,5,5,5
"Inadimplencia_Credito_Pessoal_Nao_Consignado",16,16,16,16,16,16,16,16,16,2,2,11,11,11,11,11,11,11,8,8,8,8,8,8,15,15,2,2,2,2,2,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,6,5,5,5
"Inadimplencia_Composicao_Dividas",16,16,16,16,16,16,16,16,16,2,2,11,11,11,11,11,11,11,8,8,8,8,8,8,15,15,2,2,2,2,2,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,6,5,5,5
"Inadimplencia_Consignado_Privado",16,16,16,16,16,16,16,16,16,2,2,11,11,11,11,11,11,11,8,8,8,8,8,8,15,15,2,2,2,2,2,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,6,5,5,5
"Inadimplencia_Nao_Consignado_Com_Garantia",2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,1,1,1,1,1,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,0,1,1,1
